Date,Open,High,Low,Close,Adj Close,Volume
2022-03-04,4880.000000,4889.399902,4732.200195,4747.250000,4714.958984,738388
2022-03-07,4620.000000,4732.799805,4583.850098,4664.350098,4632.622559,643012
2022-03-08,4660.000000,4740.000000,4595.399902,4722.250000,4690.128906,670238
2022-03-09,4779.000000,4814.899902,4694.000000,4710.950195,4678.906250,447387
2022-03-10,4805.600098,4819.000000,4745.000000,4769.700195,4737.256348,363906
2022-03-11,4748.000000,4863.000000,4735.250000,4854.100098,4821.082031,436703
2022-03-14,4890.000000,5016.549805,4864.049805,4923.500000,4890.010254,626924
2022-03-15,4949.950195,4999.000000,4700.000000,4812.950195,4780.212402,686998
2022-03-16,4893.600098,4957.149902,4832.200195,4943.649902,4910.022949,477521
2022-03-17,4947.000000,4998.000000,4824.899902,4839.899902,4806.978516,852493
2022-03-21,4875.000000,4914.899902,4755.049805,4767.399902,4734.971680,509842
2022-03-22,4798.000000,4828.000000,4471.850098,4677.600098,4645.782715,1255679
2022-03-23,4697.500000,4716.049805,4595.600098,4608.200195,4576.855469,896055
2022-03-24,4599.950195,4685.000000,4558.600098,4628.549805,4597.065918,719101
2022-03-25,4670.000000,4764.000000,4622.399902,4683.200195,4651.344727,968364
2022-03-28,4712.799805,4720.000000,4600.049805,4658.600098,4626.912109,524802
2022-03-29,4685.899902,4697.500000,4599.049805,4613.750000,4582.367188,778391
2022-03-30,4677.000000,4693.700195,4579.649902,4614.799805,4583.409668,4839707
2022-03-31,4625.000000,4634.700195,4500.850098,4516.100098,4485.381348,1225845
2022-04-01,4558.000000,4558.000000,4455.100098,4506.899902,4476.243652,827880
2022-04-04,4557.000000,4583.299805,4499.000000,4564.950195,4533.899414,619577
2022-04-05,4605.000000,4605.000000,4542.149902,4554.250000,4523.271973,487075
2022-04-06,4567.000000,4609.000000,4498.149902,4511.750000,4481.061035,653418
2022-04-07,4531.000000,4583.700195,4490.000000,4536.500000,4505.643066,413722
2022-04-08,4574.000000,4628.500000,4514.000000,4606.149902,4574.818359,685882
2022-04-11,4607.000000,4686.649902,4575.500000,4662.149902,4630.437500,652187
2022-04-12,4669.000000,4682.000000,4594.549805,4626.299805,4594.832031,574409
2022-04-13,4629.000000,4764.000000,4629.000000,4744.450195,4712.177734,812061
2022-04-18,4724.500000,4744.450195,4518.000000,4554.500000,4523.520020,579482
2022-04-19,4594.000000,4870.000000,4583.399902,4816.350098,4783.588867,1713344
2022-04-20,4806.000000,4850.000000,4731.399902,4780.950195,4748.430176,777140
2022-04-21,4840.000000,4903.649902,4770.100098,4885.250000,4852.020020,771623
2022-04-22,4849.950195,4860.000000,4788.000000,4813.700195,4780.957520,381911
2022-04-25,4765.600098,4765.600098,4608.350098,4676.049805,4644.243164,421185
2022-04-26,4733.000000,4741.000000,4601.000000,4624.049805,4592.596680,548203
2022-04-27,4620.000000,4658.950195,4500.000000,4522.950195,4492.185059,476441
2022-04-28,4580.000000,4603.000000,4505.049805,4537.850098,4506.983398,552600
2022-04-29,4545.000000,4596.000000,4431.000000,4454.350098,4424.051758,465103
2022-05-02,4440.000000,4440.000000,4290.000000,4304.750000,4275.468750,568610
2022-05-04,4302.500000,4325.350098,3996.050049,4013.300049,3986.001465,1729814
2022-05-05,4042.000000,4054.149902,3930.000000,3949.100098,3922.238281,1122769
2022-05-06,3898.649902,3898.649902,3791.050049,3827.350098,3801.316406,891448
2022-05-09,3805.000000,3807.949951,3739.649902,3766.350098,3740.730957,521295
2022-05-10,3770.000000,3782.699951,3661.800049,3686.899902,3661.821533,836241
2022-05-11,3709.899902,3734.899902,3619.649902,3679.649902,3654.620605,524764
2022-05-12,3650.000000,3650.000000,3541.449951,3580.850098,3556.492920,717916
2022-05-13,3601.899902,3712.899902,3530.000000,3547.800049,3523.667725,957908
2022-05-16,3581.000000,3707.899902,3553.050049,3686.750000,3661.672607,600622
2022-05-17,3712.000000,3832.949951,3678.050049,3813.149902,3787.212646,843357
2022-05-18,3822.000000,3842.000000,3725.000000,3735.000000,3709.594482,427461
2022-05-19,3609.600098,3717.850098,3609.600098,3631.800049,3607.096436,572640
2022-05-20,3695.000000,3695.000000,3586.000000,3668.000000,3643.050049,692428
2022-05-23,3668.000000,3764.649902,3666.000000,3716.949951,3691.666992,401917
2022-05-24,3740.000000,3740.000000,3613.500000,3631.649902,3606.947266,471324
2022-05-25,3650.250000,3673.949951,3486.149902,3524.300049,3500.327637,370431
2022-05-26,3386.000000,3709.000000,3361.550049,3662.800049,3637.885254,1730687
2022-05-27,3700.000000,3880.000000,3573.000000,3861.750000,3835.482178,1733752
2022-05-30,3890.000000,3915.550049,3820.449951,3891.949951,3865.476563,666686
2022-05-31,3855.000000,3999.800049,3839.050049,3979.300049,3952.232666,1361696
2022-06-01,3939.550049,3989.750000,3790.050049,3839.000000,3812.886719,794887
2022-06-02,3845.000000,3845.000000,3623.750000,3645.250000,3620.454590,1891062
2022-06-03,3689.000000,3693.949951,3546.350098,3588.800049,3564.388916,1305662
2022-06-06,3580.100098,3649.899902,3542.100098,3633.699951,3608.983398,561188
2022-06-07,3633.699951,3633.699951,3525.000000,3609.300049,3584.749512,490554
2022-06-08,3600.000000,3645.000000,3557.000000,3636.199951,3611.466309,342056
2022-06-09,3624.800049,3680.649902,3561.000000,3670.050049,3645.085938,483671
2022-06-10,3620.500000,3715.000000,3595.500000,3700.500000,3675.328857,624657
2022-06-13,3649.000000,3678.050049,3592.000000,3651.899902,3627.059570,523342
2022-06-14,3628.199951,3757.850098,3622.750000,3706.199951,3680.990479,655865
2022-06-15,3737.949951,3756.100098,3645.899902,3722.699951,3697.378174,466405
2022-06-16,3745.000000,3775.000000,3647.000000,3663.649902,3638.729736,678602
2022-06-17,3600.000000,3724.000000,3556.100098,3701.250000,3676.073975,768620
2022-06-20,3700.000000,3825.000000,3682.899902,3811.699951,3785.772705,673219
2022-06-21,3849.949951,3869.000000,3794.050049,3808.199951,3782.296143,596024
2022-06-22,3789.050049,3807.750000,3713.250000,3787.750000,3761.985840,359601
2022-06-23,3761.800049,3857.000000,3723.149902,3850.500000,3824.308594,646244
2022-06-24,3902.000000,3922.000000,3762.000000,3838.399902,3812.291016,1024811
2022-06-27,3849.000000,3870.000000,3775.000000,3794.500000,3768.689697,708737
2022-06-28,3759.050049,3846.649902,3722.899902,3837.350098,3811.248535,463753
2022-06-29,3767.199951,3817.949951,3695.000000,3713.000000,3687.744141,567477
2022-06-30,3714.000000,3765.500000,3656.399902,3683.500000,3658.444580,534241
2022-07-01,3680.000000,3745.000000,3635.199951,3736.149902,3710.736572,316894
2022-07-04,3732.000000,3782.800049,3700.050049,3770.100098,3744.455811,300790
2022-07-05,3761.000000,3874.750000,3761.000000,3817.399902,3791.433838,468762
2022-07-06,3809.100098,3889.550049,3783.500000,3883.500000,3857.084229,390568
2022-07-07,3894.050049,3930.000000,3868.250000,3915.250000,3888.618408,398354
2022-07-08,3918.000000,3946.000000,3910.000000,3936.149902,3909.375977,268377
2022-07-11,3935.000000,3968.149902,3895.050049,3933.250000,3906.495850,199806
2022-07-12,3900.000000,4098.700195,3900.000000,3929.699951,3902.970215,1125104
2022-07-13,3951.149902,3958.949951,3861.199951,3868.300049,3841.987549,385514
2022-07-14,3927.000000,3979.300049,3880.050049,3898.050049,3871.535400,656393
2022-07-15,3898.050049,3944.000000,3875.000000,3931.699951,3904.956543,318645
2022-07-18,3940.100098,3970.800049,3890.149902,3947.100098,3920.251953,291155
2022-07-19,3944.399902,4032.949951,3923.399902,4020.199951,3992.854492,412946
2022-07-20,4090.000000,4141.700195,4030.050049,4110.250000,4082.291992,753440
2022-07-21,4112.000000,4169.850098,4096.350098,4150.049805,4121.821289,542974
2022-07-22,4150.200195,4169.600098,4089.949951,4125.299805,4097.239258,378496
2022-07-25,4144.000000,4252.899902,4138.049805,4189.899902,4161.399902,1127478
2022-07-26,4185.000000,4188.950195,4088.000000,4110.200195,4082.242188,363638
2022-07-27,4112.000000,4136.950195,4022.000000,4125.600098,4097.537598,440198
2022-07-28,4149.000000,4206.000000,4135.000000,4190.500000,4161.996094,364711
2022-07-29,4206.000000,4252.799805,4187.000000,4212.299805,4183.647461,333278
2022-08-01,4240.000000,4293.750000,4190.000000,4288.100098,4258.932617,311325
2022-08-02,4311.000000,4348.250000,4270.950195,4325.899902,4296.474609,440869
2022-08-03,4325.950195,4386.750000,4280.100098,4310.049805,4280.732422,367949
2022-08-04,4322.950195,4409.000000,4310.000000,4395.799805,4365.899414,358472
2022-08-05,4395.799805,4422.000000,4335.000000,4374.100098,4344.347168,207510
2022-08-08,4388.950195,4474.549805,4380.049805,4427.350098,4397.234863,445755
2022-08-10,4438.899902,4625.950195,4397.100098,4517.149902,4486.423828,867000
2022-08-11,4539.600098,4552.500000,4418.000000,4429.649902,4399.519531,446510
2022-08-12,4350.049805,4394.799805,4276.100098,4312.750000,4283.414551,1412625
2022-08-16,4350.000000,4381.549805,4206.899902,4349.399902,4319.814941,596342
2022-08-17,4349.000000,4370.049805,4285.850098,4305.750000,4276.461914,502434
2022-08-18,4315.000000,4338.600098,4250.000000,4266.649902,4249.223633,580509
2022-08-19,4291.000000,4309.450195,4120.000000,4135.350098,4118.459961,719126
2022-08-22,4133.000000,4133.000000,3995.600098,4024.899902,4008.461182,723542
2022-08-23,4024.800049,4093.449951,3987.850098,4070.949951,4054.322754,497236
2022-08-24,4079.000000,4220.000000,4077.949951,4210.750000,4193.551758,956039
2022-08-25,4215.000000,4239.850098,4156.700195,4168.799805,4151.772949,414795
2022-08-26,4207.000000,4235.750000,4156.200195,4215.250000,4198.033691,342452
2022-08-29,4100.000000,4272.000000,4086.000000,4251.500000,4234.135254,914112
